word;definition
pensive;dreamily thoughtful
bedizen;dress with vulgar finery
flotsam;drifting wrekage
tipple;drink (alcoholic beverages) frequently
swill;drink greedily
imbibe;drink in
quaff;drink with relish
repel;drive away
impel;drive or force onward
ferret;drive or hunt out of hiding
exorcise;drive out evil spirits
repellent;driving away
propulsive;driving forward
flag;droop
lethargic;drowsy
anodyne;drug that relieves pain
apothecary;druggist
bacchanalian;drunken
carousal;drunken revel
provender;dry food
desiccate;dry up
drab;dull
dingy;dull
humdrum;dull
lackluster;dull
stolid;dull
prosaic;dull and unimaginative
vapid;dull and unimaginative
effigy;dummy= bu nhin
gnome;dwarf
moribund;dying
zeal;eager enthusiasm
levee;earthen or stone embankment to prevent flooding
bulwark;earthwork or other strong defense
assuage;ease or lessen (pain)
facile;easily accomplished
affable;easily approachable
brittle;easily broken
combustible;easily burned
gullible;easily deceived
transparent;easily detected
queasy;easily nauseated
lucid;easily understood
accessible;easy to approach
erode;eat away
corrosive;eating away by chemicals or disease
omnivorous;eating both plant and animal food
crotchety;eccentric
reverberate;echo
resonant;echoing
periphery;edge
articulate;effective
economy;efficiency or conciseness in using something
exertion;effort
maudlin;effusively sentimental
ovoid;egg-shaped
resilient;elastic
component;element
medium;element that is a creature's natural environment
apotheosis;elevation to godhood
dismiss;eliminate from consideration
manumit;emancipate
abash;embarrass
reek;emit (odor)
rapport;emotional closeness
libido;emotional urges behind human activity
detached;emotionally removed
underscore;emphasize
vacuous;empty
embed;enclose
environ;enclose
aviary;enclosure of birds
encipher;encode
hortatory;encouraging
termination;end
jeopardize;endanger
interminable;endless
incarnate;endowed with flesh
weather;endure the effects of weather or other forces
dynamic;energetic
worldly;engrossed in matters of this earth
sphinx-like;enigmatic
savor;enjoy
gusto;enjoyment
astronomical;enormously large or extensive
incense;enrage
matriculate;enroll (in college or graduate school)
mire;entangle
regale;entertain
verve;enthusiasm
ovation;enthusiastic applause
plaudit;enthusiastic approval
devotee;enthusiastic follower
allure;entice
gamut;entire range
entree;entrance
suppliant;entreating
ambiance;environment
milieu;environment
gourmand;epicure
parity;equality
accoutre;equip
paraphernalia;equipment
tantamount;equivalent in effect or value
delete;erase
palliate;erase pain
misapprehension;error
gist;essence
intrinsic;essential
substantive;essential
crux;essential or main point
attribute (n);essential quality
substantiate;establish by evidence
appraise;estimate value of
assessment;estimation
elusive;evasive
perpetual;everlasting
biennial;every two years
manifest;evident
sinister;evil
machinations;evil schemes or plots
malefactor;evildoer
gestate;evolve
precise;exact
inflated;exaggerated
hyperbole;exaggeration
sublime;exalted
autopsy;examination of a dead body
audit;examination of accounts
scrunitize;examine closely and critically
plumb;examine critically in order to understand
collate;examine in order to verify authenticity
surpass;exceed
plethora;excess
exorbitant;excessive
superfluous;excessive
egoism;excessive interest in one's self
fanaticism;excessive zeal
meticulous;excessively careful
uxorious;excessively devoted to one's wife
hypercritical;excessively exacting
obese;excessively fat
tightwad;excessively frugal person
rapacious;excessively grasping
prude;excessively modest or proper person
ornate;excessively or elaborately decorated
egotistical;excessively self-centered
ejaculation;exclamation
ostracize;exclude from public favor
pretext;excuse
grueling;exhausting
iridescent;exhibiting rainbow-like colors
expatriate;exile
subsistence;existence
congenital;existing at birth
primordial;existing at the beginning (of time)
egress;exit
distend;expand
dilate;expand
politic;expedient
oust;expel
sustain;experience
seasoned;experienced
adept;expert at
construe;explain
elucidate;explain
explicate;explain
gloss over;explain away
belabor;explain or go over excessively or to a ridiculous degree
exegesis;explanation
expository;explanatory
legend;explanatory list of symbols on a map
probe;explore with tools
detonation;explosion
debunk;expose as false
traduce;expose to slander
vent;express
deprecate;express disapproval of
reproach;express disapproval or disappointment
gloat;express evil satisfaction
decry;express strong disapproval of
condole;express sympathetic sorrow
derogatory;expressing a low opinion
potential;expressing possibility
eulogy;expression of praise
idiom;expression whose meaning as a whole differs from the meanings of its individual words
eloquence;expressiveness
prolong;extend
cordon;extended line of men or fortifications to prevent access or egress
tirade;extended scolding
extrinsic;external
pterodactyl;extinct flying reptile
quell;extinguish
prowess;extraordinary ability
antic;extravagantly odd
depravity;extreme corruption
opulence;extreme wealth
jingoist;extremely aggressive and militant patriot
overwrought;extremely agitated
exacting;extremely demanding
parched;extremely dry
ravenous;extremely hungry
stentorian;extremely loud
blatant;extremely obvious
virulent;extremely poisonous
destitute;extremely poor
draconian;extremely severe
lilliputian;extremely small
minuscule;extremely small
minute;extremely small
astigmatism;eye defect that prevents proper focus
countenance;face
physiognomy;face
founder;fail completely
default;failure to act
equitable;fair
equity;fairness
philanderer;faithless lover
ravel;fall apart into tangles
plummet;fall sharply
delusion;false belief
canard;false or unfounded story
perjury;false testimony while under oath
renown;fame
conversant;familiar with
ancestry;family descent
zealot;fanatic
bizarre;fantastic
grotesque;fantastic
chimerical;fantastically improbable
modish;fashionable
splice;fasten together
kismet;fate
beget;father
patriarch;father and ruler of a family or tribe
jaded;fatigued
captious;faultfinding
impeccable;faultless
propitious;favorable
auspicious;favoring success
nepotism;favoritism (to a relative)
trepidation;fear
claustrophobia;fear of being locked in
acrophobia;fear of heights
hydrophobia;fear of water
xenophobia;fear or hatred of foreigners
apprehensive;fearful
timorous;fearful
intrepid;fearless
practicable;feasible
plumage;feathers of a bird
lineaments;features
feckless;feeble and ineffective
commiserate;feel or express pity or sympathy for
euphoria;feeling of exaggerated (or unfounded) well-being
contrite;feeling or expressing remorse at the recognition that one has done wrong
presentiment;feeling something will happen
simulate;feign
visceral;felt in one's inner organs
vixen;female fox
ewe;female sheep
amazon;female warrior
frond;fern leaf
fecundity;fertility
convivial;festive
febrile;feverish
demoniac;fiendish
melee;fight
dossier;file of documents on a subject
replenish;fill up again
fraught;filled or charged with
replete;filled to the brim or to the point of being stuffed
erotic;films with significant erotic content are rated R
squalor;filth
sordid;filthy
ultimate;final
ascertain;find out for certain
aversion;firm dislike
purchase;firm grasp or footing
inherent;firmly established by nature or habit
tenacity;firmness
arable;fit for growing crops
tantrum;fit of petulance
paroxysm;fit or attack of pain
spasmodic;fitful
aptitude;fitness
propriety;fitness
moodiness;fits of depression or gloom
rig;fix or manipulate
stereotype;fixed and unvarying representation
flaccid;flabby
panache;flair
gaudy;flashy
meretricious;flashy
delta;flat plain of mud or sand between branches of a river
adulation;flattery
blandishment;flattery
sherbet;flavored dessert ice
armada;fleet of warships
evanescent;fleeting
carnal;fleshly
limber;flexible
lithe;flexible
pliable;flexible
pliant;flexible
supple;flexible
sleazy;flimsy
coquette;flirt
levitate;float in the air (especially by magical means)
deluge;flood
parquet;floor made of wood strips inlaid in a mosaic like pattern
cursive;flowing
flux;flowing
influx;flowing into
confluence;flowing together
glib;fluent
voluble;fluent
flit;fly
balk;foil
ensue;follow as a consequence
retinue;following
subsequent;following
endearment;fond word or act
viand;food
victuals;food
ambrosia;food of the god
condiment;food seasoning
witless;foolish
austere;forbiddingly stern
extrude;force or push out
contrived;forced
vehement;forceful
trenchant;forceful and vigorous
duress;forcible restraint
prognosis;forecasted course of a disease
paramount;foremost in importance
precursor;forerunner
vanguard;forerunners
bode;foreshadow
portend;foretell
presage;foretell
premonition;forewarning
venial;forgivable
granulate;form into grains
polity;form of government of nation or state
satire;form of literature in which irony
discourse;formal discussion
dissertation;formal essay
panegyric;formal praise
predecessor;former occupant of a post
redoubtable;formidable
amorphous;formless
citadel;fortress
putrid;foul
malodorous;foul-smelling
noisome;foul-smelling
quadruped;four-footed animal
shard;fragment
rubble;fragments
aromatic;fragrant
redolent;fragrant
chassis;framework and working parts of an automobile
candor;frankness
extricate;free
gratis;free
latitude;freedom from narrow limitations
impunity;freedom from punishment or harm
congeal;freeze
berserk;frenzied
frenetic;frenzied
furor;frenzy
repine;fret
scruple;fret about
querulous;fretful
amity;friendship
intimidate;frighten
outskirts;fringes
facade;front (of building)
